,Velocity,Temperature
68,-389.556204282,0.04750061
69,-388.525632313,0.20750427
70,-387.4950603440001,-0.0625
71,-386.46448837500003,0.1875
72,-385.43391640600004,0.057502747
73,-384.40334443700004,-0.057495117
74,-383.372772468,0.08000183
75,-382.342200499,0.12000275
76,-381.31162853000006,0.16500092
77,-380.281056561,-0.18249512
78,-379.250484592,0.012504578
79,-378.219912623,0.057502747
80,-377.18934065400003,-0.025001526
81,-376.15876868500004,0.022499084
82,-375.12819671600005,-0.0049972534
83,-374.09762474700005,0.09000397
84,-373.067052778,0.069999695
85,-372.036480809,-0.07499695
86,-371.0059088400001,0.022499084
87,-369.975336871,0.12250519
88,-368.94476490200003,-0.06499481
89,-367.91419293300004,0.084999084
90,-366.883620964,-0.1324997
91,-365.853048995,-0.049995422
92,-364.82247702600006,0.23500061
93,-363.79190505700006,-0.1800003
94,-362.761333088,-0.01499939
95,-361.730761119,-0.0049972534
96,-360.70018915,-0.012496948
97,-359.66961718100004,-0.03250122
98,-358.63904521200004,0.30750275
99,-357.60847324300005,0.0025024414
100,-356.577901274,-0.22499847
101,-355.547329305,0.16000366
102,-354.516757336,-0.072502136
103,-353.4861853670001,0.20500183
104,-352.455613398,-0.0625
105,-351.42504142900003,0.055000305
106,-350.39446946000004,-0.12999725
107,-349.363897491,-0.09249878
108,-348.33332552200005,0.04750061
109,-347.30275355300006,-0.22750092
110,-346.272181584,-0.117500305
111,-345.241609615,-0.049995422
112,-344.211037646,-0.084999084
113,-343.180465677,-0.11000061
114,-342.14989370800004,0.12000275
115,-341.11932173900004,-0.084999084
116,-340.08874977000005,0.037498474
117,-339.058177801,0.02999878
118,-338.027605832,-0.08999634
119,-336.99703386300007,0.13750458
120,-335.966461894,0.057502747
121,-334.935889925,-0.007499695
122,-333.90531795600003,-0.01499939
123,-332.874745987,-0.21499634
124,-331.84417401800005,-0.084999084
125,-330.81360204900005,0.052497864
126,-329.78303008000006,-0.114997864
127,-328.752458111,-0.14749908
128,-327.721886142,-0.07749939
129,-326.691314173,-0.010002136
130,-325.66074220400003,-0.13500214
131,-324.63017023500004,0.28749847
132,-323.59959826600004,0.037498474
133,-322.569026297,0.15750122
134,-321.538454328,-0.040000916
135,-320.50788235900006,-0.05999756
136,-319.47731039,-0.22750092
137,-318.446738421,0.11250305
138,-317.416166452,0.07500458
139,-316.38559448300003,0.042503357
140,-315.355022514,-0.18249512
141,-314.32445054500005,0.125
142,-313.29387857600005,-0.057495117
143,-312.263306607,-0.03250122
144,-311.232734638,-0.055000305
145,-310.202162669,0.05000305
146,-309.1715907,0.099998474
147,-308.14101873100003,0.15000153
148,-307.11044676200004,-0.084999084
149,-306.079874793,0.102500916
150,-305.049302824,-0.18249512
151,-304.01873085500006,0.012504578
152,-302.98815888600006,0.09500122
153,-301.957586917,0.125
154,-300.927014948,0.125
155,-299.896442979,0.02999878
156,-298.86587101,0.040000916
157,-297.83529904100004,0.035003662
158,-296.80472707200005,-0.027496338
159,-295.774155103,0.11000061
160,-294.743583134,0.025001526
161,-293.713011165,0.3100052
162,-292.6824391960001,-0.15499878
163,-291.651867227,0.08250427
164,-290.62129525800003,-0.13749695
165,-289.59072328900004,-0.10749817
166,-288.56015132,0.017501831
167,-287.529579351,-0.002494812
168,-286.49900738200006,0.03250122
169,-285.468435413,-0.01499939
170,-284.437863444,-0.072502136
171,-283.407291475,0.04499817
172,-282.376719506,0.02999878
173,-281.34614753700004,-0.069999695
174,-280.31557556800004,0.07749939
175,-279.28500359900005,0.017501831
176,-278.25443163,0.035003662
177,-277.223859661,0.12250519
178,-276.19328769200007,-0.057495117
179,-275.162715723,0.1800003
180,-274.132143754,-0.027496338
181,-273.10157178500003,0.1324997
182,-272.070999816,0.017501831
183,-271.040427847,0.13000488
184,-270.00985587800005,-0.025001526
185,-268.97928390900006,-0.052497864
186,-267.94871194,-0.012496948
187,-266.918139971,0.010002136
188,-265.887568002,-0.23999786
189,-264.85699603300003,-0.0049972534
190,-263.82642406400004,-0.15999603
191,-262.79585209500004,-0.099998474
192,-261.76528012600005,-0.24499512
